product_name,brands,ingredients_text,
Cafe steamers frozen dinner,Healthy choice cafe steamers,"Cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil), cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), broccoli, tomatoes in puree (tomatoes, tomato puree), water, contains 2% or less of: tomato paste, parmesan cheese (part skim milk, cheese culture, salt, enzymes), onions, sugar, flavorings, garlic, salt, modified corn starch, olive oil, citric acid. contains: milk, soy, wheat.",
"Healthy Chef, Extra Virgin Olive Oil Cooking Spray",Rejoice International Corp.,"Water (aqua), olive oil* isobutane, propane, lecithin, potassium sorbate (preservative), glyceryl stearate.",
Healthy balance mango tangerine diet flavored,,"Filtered water, apple juice concentrate, citric acid, natural flavors, mango puree, tangerine juice concentrate, cellulose gum, ascorbic acid (vitamin c), sucralose, acesulfame potassium, vegetable and fruit juice for color, modified food starch, ester gum, saib, red 40, yellow 5, yellow 6.",
Healthy multi-grain bread,Sara Lee,"whole wheat flour, water, wheat gluten, whole grains (bulgur wheat, wheat, rye, oats, barley, triticale, corn, millet), modified wheat starch, sugar, yeast, cellulose fiber, salt, preservatives (calcium propionate, sorbic acid), soybean oil, monoglycerides, natural flavor, wheat bran, datem, cellulose gum, honey solids, monocalcium phosphate, ground flaxmeal, soy lecithin, calcium sulfate, reb a (stevia leaf sweetener), citric acid, grain vinegar, potassium iodate,",
Spinach Artichoke Hummus,Nature’s Healthy Gourmet,"Water, parboiled long grain rice, celery, okra, red bell peppers, contains less than 2% of tomato paste, tomatoes, soy protein concentrate, corn starch, salt, canola oil, natural flavors, fire-roasted tomatoes, palm oil, vital wheat gluten, yeast extract, dried onion, soy protein isolate, spices, sugar, methylcellulose, paprika, potato starch, garlic powder, yeast, tomato powder, smoke flavor, dried garlic, olive oil, barley malt extract, lactic acid.",
Spinach Artichoke Hummus,"Amy's, Nature’s Healthy Gourmet","Ingredients (vegan): filtered water, organic diced tomatoes, organic onions, organic carrots, organic kidney beans, organic potatoes, organic celery, organic green beans, organic peas, organic pasta (organic semolina flour, filtered water), organic leeks, sea salt, organic spices, organic high oleic safflower and/or sunflower oil, organic garlic, bay leaves, organic black pepper.",
Spinach Artichoke Hummus,Nature’s Healthy Gourmet,,
Formula 1 healthy meal,Herbalife,"Soya protein isolate (40 %), fructose, emulsifier (soya lecithin), polydextrose, oat fiber, inulin, coffee powder, soya oil, thickeners (guar gum, carrageenan, xanthan gum, pectin), oat bran, flavourings, cocoa powder, milk protein concentrate, anti-caking agent (silicon dioxide), dextrose, calcium citrate, colour (ammonia caramel), calcium phosphate, sodium chloride, rapeseed oil, sweetener (acesulfame K), L-ascorbic acid, honey powder, DL-alpha-tocopheryl acetate, ferrous fumarate, magnesium oxide, nicotinamide, parsley powder (0.02 %), papaya powder (0.02 %) , zinc oxide, cupric gluconate, retinyl palmitate, calcium D-pantothenate, cholecalciferol, antioxidants (L-ascorbyl palmitate, DL-alpha-tocopherol), manganese carbonate, pyridoxine hydrochloride, cyanocobalamin, riboflavin, thiamin hydrochloride, pteroylmonoglutamic acid, potassium iodide, sodium selenite, D-biotin. Allergy advice: for allergens, including cereals containing gluten, see ingredients in bold.",
"Healthy Grains Granola Bar, Vanilla, Blueberry","Kind,  Kind Inc.","whole grain blend (oats, brown rice, millet, oat flour, buckwheat, amaranth, quinoa), tapioca syrup, dried cane syrup, honey, canola oil, brown rice syrup, gum acacia, vanilla extract, blueberry puree, apple puree, plum puree, apple juice, glycerine, sea salt, vitamin e (to maintain freshness), citrus fiber, citrus pectin, natural flavor,",
Gourmet cinnamon peanut butter w chia seeds by,Healthy Concepts Food Company  Llc,"Peanuts, chia seeds, demerara sugar, organic honey, cinnamon, sunflower oil, pink himalayan salt, organic stevia leaf extract, natural flavors.",
