product_name,brands,ingredients_text,
"Almonds, dried sweetened cranberries, walnuts & chickpeas heart healthy blend",,"Almonds, dried sweetened cranberries (cranberries, sugar, expeller pressed sunflower oil), walnuts, chickpeas, expeller pressed sunflower oil, sea salt.",
"Healthy choice, pudding, french creme tapioca, french creme tapioca",,"Skim milk from concentrate [ water, concentrated skim milk, water, sugar, modified corn starch, tapioca, vegetable oil (palm oil and/or hydrogenated palm oil and/or sunflower oil and/or hydrogenated soybean oil), salt, tricalcium phosphate, cream powder, artificial and natural flavours, carrageenan sodium stearoyl-2-0lactylate, colour (contains tartarzine).",
"Healthy choice, pudding, french vanilla, french vanilla",,"Skim milk from concentrate (water concentrated skim milk), water, sugar, modified corn starch, vegetable oil (palm oil and/or hydrogenated palm oil and/or sunflower oil and/or hydrogenated soybean oil), natural and artificial vanilla flavours, carrageenan, cream powder, salt, tricalcium phosphate, sodium stearoyl-2-lactylate, colour (contains tartrazine).",
"Healthy choice, pudding cups, double chocolate fudge, double chocolate fudge",,"Skim milk from concentrate (water, concentrated skim milk), water, sugar, modified corn starch, cocoa, vegetable oil (palm oil and/or hydrogenated palm oil), salt, artificial and natural chocolate and vanilla flavors, tricalcium phosphate, carrageenan, cream powder, sodium stearoyl-2-lactylate, color.",
Nut-rition heart healthy mix,,"Peanuts, almonds, pistachios, pecans, walnuts, hazelnuts (filberts), peanut and/or cottonseed oil, sea salt.",
All natural healthy mix,,"Cashews, almonds, dark california raisins, pumpkin seed hulled and raw, shelled sunflower seeds hulled",
"Heart healthy peanuts, almonds, pistachios, pecans, walnuts & hazelnuts mixed nuts, mixed nuts",,"Peanuts, almonds, pecans, walnuts, pistachios, hazelnuts (filberts), peanut and/or canola oil, salt.",
Healthy grains bread,,"Whole wheat flour, water, grain and seed mix (whole grain bulgur wheat, whole grain oats, sunflower seeds, whole grain rye, whole grain triticale, whole grain barley, organic whole grain corn meal, flax seeds, sesame seeds, millet, whole grain brown rice, whole grain sorghum, amaranth, whole grain buckwheat flour, whole grain quinoa), wheat gluten, liquid sugar, contains 2 percent or less of: yeast, molasses, soybean oil, and/or canola oil, sea salt, dough conditioners (may contain one or more of: sodium stearoyl lactylate, ethoxylated mono-and diglycerides, monocalcium phosphate, calcium sulfate, ascorbic acid), acesulfame potassium, sucralose, mono - and diglycerides, calcium propionate and sorbic acid (to retain spoilage), cultured wheat, vinegar, enzymes.",
"Healthy harvest crisp sliced apples, natural almonds, colby jack cheese, & sweet carrots",,"Carrots, apples (apples and calcium ascorbate [vitamin c calcium salt]), almonds, colby-jack cheese (colby cheese [pasteurized milk, cheese culture, salt, enzymes, annatto {vegetable color}], monterey jack cheese [pasteurized milk, cheese culture, salt, enzymes]).",
"Healthy honey ham water added ultra-thin deli slices family pack, honey ham",,"Water, honey, salt, contains 2% or less of vinegar, sugar, brown sugar, sodium phosphates, sodium erythorbate, sodium nitrite.",
"Healthy recipe, cream of mushroom condensed soup, cream of mushroom",,"Water, mushrooms, modified food starch, wheat flour, contains less than 2% of: soybean oil, cream, sugar, salt, potassium chloride, natural flavoring, soy protein concentrate, calcium carbonate, yeast extract, whey protein concentrate.",
Healthy honey ham,,"Water, honey, contains 2% or less of the following: salt, sugar, sodium propionate, sodium phosphates, sodium erythorbate, sodium nitrite.",
"Healthy recipe, tomato condensed soup, tomato",,"Tomato puree (water, tomato paste), water, wheat flour, sugar, contains less than 2% of: soybean oil, salt, potassium chloride, sea salt, natural flavor, citric acid, ascorbic acid.",
Roasted almonds heart healthy,,"Almonds, vegetable oil (peanut, cottonseed, soybean and/or sunflower seed), sea salt.",
Mojo healthy trail mix,,"Peanuts (peanuts, salt, vegetable oil (canola, peanut, and/or cottonseed oils)), dried cranberries (cranberries, sugar, vegetable oil (sunflower, and/or canola oils)), chocolate chips (sugar, hydrogenated palm kernel oil, natural cocoa powder, cocoa processed with alkali, salt, soy lecithin (an emulsifier), vanillin (artificial flavor)), sunflower kernels (sunflower kernels, salt, vegetable oil (peanut and/or sunflower oils))",
Healthy multi grain bread,,"Whole wheat flour, water, brown sugar, vital wheat gluten, whole grain millet, whole grain rice, yeast, soybean oil, whole grain oats, whole grain rye, whole grain barley, whole grain wheat, whole grain triticale, dry honey (honey, wheat starch, corn syrup, soy flour), calcium carbonate, salt, dough conditioners (sodium stearoyl lactylate, ethoxylated mono - and diglycerides, mono - and diglycerides, enzymes, ascorbic acid), whole grain buckwheat, sesame seeds, yeast nutrients (calcium sulfate, ammonium sulfate), vinegar, poppy seeds, soy lecithin.",
Healthy multigrain bread,,"Whole wheat flour, water, brown sugar, vital wheat gluten, whole grain millet, whole grain rice, yeast, soybean oil, whole grain oats, whole grain rye, whole grain barley, whole grain wheat, whole grain triticale, dry honey (honey, wheat starch), calcium carbonate, salt, whole grain buckwheat, sesame seeds, dough conditioners (sodium stearoyl lactylate, enzyme, ascorbic acid, azodicarbonamide ), yeast nutrients (calcium sulfate, ammonium sulfate), vinegar, poppy seeds, soy lecithin.",
Healthy fruit snacks,,"Apple, raspberry, banana, coconut milk, apple juice concentrate, natural flavors.",
Healthy granola clusters,,"Rolled oats, honey, sunflower seeds, raisins, pepitas, cranberries, rice crisp, walnuts, cashews, almonds, flax seeds, barley malt, canola oil, salt.",
"Healthy choice, low fat ice cream, mocha java",,"Skim milk, sugar, corn syrup, cocoa processed with alkali, cream, maltodextrin, coffee, stabilizer (carob bean gum, guar gum, xanthan gum), vitamin a palmitate.",
"Peanuts, almonds, pistachios, pecans, walnuts, heart healthy mix",,"Peanuts, almonds, pistachios, pecans, walnuts, peanut oil, sea salt.",
"Planters, nut-rition heart healthy mix",,"Peanuts, almonds, pistachios, pecans, walnuts, hazelnuts (filberts), peanut oil, sea salt.",
Heart healthy mix,Planters,"Peanuts, almonds, pistachios, pecans, walnuts, hazelnuts, peanut oil, sea salt.",
"Peanuts, almonds, pistachios, pecans, walnuts with a touch of sea salt heart healthy mix",,"Peanuts, almonds, pistachios, walnuts, pecans, peanut oil, sea salt.",
"Libby's, healthy adventures, santa fe blend",,"Fire roasted corn, black beans, fire roasted red bell peppers, fire roasted poblano peppers, water, tomato paste, sugar, canola oil, modified corn starch, salt, maltodextrin, spices, lime juice concentrate, dehydrated onion, dehydrated garlic, citric acid, paprika, oleorsin paprika (coloring), natural flavors, soybean oil, smoke flavor.",
Organic lightly sweetened with coconut water iced green tea,"Steaz,  Healthy Beverage  Llc","Filtered water, coconut water+, cane sugar+*, natural flavors (coconut & other), green tea+*, citric acid, ascorbic acid (vitamin c) and contains 5% coconut water.",
"Organic energy orange flavor with other natural flavors, orange",Healthy Beverage  Llc,"Sparkling filtered water, cane sugar*, acal juice, yerba mate extract, natural flavors (orange & other), citric acid, euarana, green tea*, sodium citrate, beta carotene (vitamin a), vitamin b8 (pyridoxamine), vitamin c (ascorbic acid), folic acid, and vitamin b12 (cyanocobalamin).",
Organic lightly sweetened mint iced green tea,"Steaz,  Healthy Beverage  Llc","Filtered water, cane sugar+*, natural flavors (mint & other), lemon juice+, and green tea+*.",
Organic lightly sweetened super fruit iced green tea,Healthy Beverage  Llc,"Filtered water, cane sugar+*, natural flavors (goji, mangosteen, pomegranate, blueberry & other), acai juice+, lemon juice+, and green tea+*.",
Zero calorie raspberry iced green tea,"Steaz,  Healthy Beverage  Llc","Filtered water, flavorsâ€ , lemon juiceâ€ , erythritolâ€ , green teaâ€ *, and steviaâ€ .",
"Organic unsweetened dragonfruit iced green tea, unsweetened dragonfruit","Steaz,  Healthy Beverage  Llc","Filtered water, inulin+ (vegetable fiber+), natural flavors (dragonfruit+ & other), lemon juice+, green tea+*, and malic acid.",
"Orgain, Healthy Kids, Organic Nutritional Shake, Vanilla",Orgain  Inc.,"Filtered water, organic evaporated cane juice, orgain organic protein blend (organic whey protein concentrate, organic grass fed milk protein concentrate), organic high oleic sunflower oil, organic rice syrup solids, organic brown rice syrup, organic inulin, organic natural flavors, organic rice bran extract, tricalcium phosphate, potassium chloride, sodium phosphate, carrageenan gum, sea salt. orgain vitamin blend tocopherol acetate, sodium ascorbate, magnesium sulfate, zinc gluconate, niacinamide, calcium pantothenate, copper gluconate, vitamin a palmitate, thiamine hydrochloride, riboflavin, folic acid, biotin, potassium iodide, cholecalciferol, cyanocobalamin orgain organic veggie blend (organic kale, organic beet, organic spinach, organic carrot, organic tomato) 50mg orgain organic fruit blend (organic blueberry, organic banana, organic acai, organic apple, organic raspberry) 50mg",
"Healthy Ones, Black Forest Ham",Armour-Eckrich Meats Llc,"Ham, water, contains 2% or less of sugar, salt, potassium lactate, sodium diacetate, sodium erythorbate, sodium nitrite, sodium phosphate, caramel color.",
"Welch's, triple fruit treat, mango, cranberries, blueberries","Welch's,  Healthy Food Brands Llc","Cranberries, mangos, blueberries, sugar, sunflower oil, sulfur dioxide (to preserve flavor).",
"Kind, healthy grains, granola bar, popped, dark chocolate with sea salt","Kind,  Kind Inc.","Whole grain blend (oats, millet, brown rice, buckwheat, amaranth, sorghum, quinoa, oat flour), tapioca syrup, dried cane syrup, honey, canola oil, chocolate liquor, sugar, brown rice syrup, gum acacia, sea salt, natural flavor, vanilla extract, cocoa powder, soy lecithin, vitamin e (to maintain freshness).",
"Kind, healthy grains granola bar, peanut butter berry, peanut butter berry","Kind,  Kind Inc.","Whole grain blend (oats, millet, brown rice, buckwheat, amaranth, quinoa, oat flour), dried cane syrup, honey, tapioca syrup, cranberries, peanut butter, canola oil, peanuts, brown rice syrup, raspberries, gum acacia, vanilla extract, sea salt, peanut flour, vitamin e (to maintain freshness).",
"Kind, healthy grains granola bar, caramel macchiato","Kind,  Kind Inc.","Whole grain blend (oats, brown rice, millet, amaranth, oat flour, buckwheat, quinoa), tapioca syrup, sugar, dried cane syrup, honey, palm kernel oil, canola oil, brown rice syrup, gum acacia, natural flavor, coffee, cocoa powder, sea salt, vanilla extract, soy lecithin, annatto, vitamin e (to maintain freshness).",
"Kind, healthy grains granola bar, dark chocolate mocha, dark chocolate mocha","Kind,  Kind Inc.","Whole grain blend (oats, brown rice, millet, buckwheat, amaranth, oat flour, quinoa), tapioca syrup, dried cane syrup, honey, canola oil, chocolate liquor, sugar, brown rice syrup, gum acacia, coffee, cocoa powder, sea salt, vanilla extract, cocoa butter, soy lecithin, vitamin e (to maintain freshness).",
"Kind, healthy grains granola bar, maple pumpkin seeds with sea salt","Kind,  Kind Inc.","Whole grain blend (oats, brown rice, millet, oat flour, buckwheat, amaranth, quinoa), tapioca syrup, pumpkin seeds, canola oil, coconut, sunflower seeds, honey, dried cane syrup, maple syrup, brown rice syrup, gum acacia, sea salt, natural flavor, vitamin e (to maintain freshness).",
Healthy Multi-Grain Bread,Sara Lee,"Whole grains (whole wheat flour, wheat, rye, barley, oats, corn, millet), water, sugar, wheat gluten, oat fiber, yeast. contains 2% or less of each of the following: cultured wheat flour, soybean oil, flaxseed , salt, distilled vinegar, wheat bran, calcium sulfate, enzymes, ascorbic acid, milk, soy flour.",
Orzo And Feta Salad,Nature's Healthy Gourmet,"Orzo [durham wheat flour (semolina)], feta cheese (cultured pasteurized milk, salt, enzymes, calcium chloride), parsley, sun dried tomato, pitted black olive, capers, lemon juice, dill, blend of soybean oil and olive oil, turmeric, salt, white pepper.",
"Musselman's, healthy picks, apple sauce, blueberry, pomegranate","Musselman's,  Knouse Foods  Inc/Musselman Dv","Apples, water, apple concentrate, dextrin (soluble fiber source), blueberry puree, calcium lactate (u.s.p. grade), vegetable juice for color, pomegranate concentrate, natural flavor and ascorbic acid (vitamin c).",
Healthy Seaweed Snack,Yangban,"Seaweed, canola oil, sesame oil, sea salt",
Healthy Snack Apple Puree,Pouchtec Industries  Llc,"Apple puree, apple juice concentrate, vitamin c (ascorbic acid).",
Mediterranean Style Chicken & Pasta In White Wine Sauce,Self Healthy Kitchen,"Cooked mafalda pasta with whole grain (water, whole wheat flour, durum wheat flour, egg whites), water, diced chicken (diced chicken breast with rib meat, water, potato starch, sea salt), skim milk, black olives (black olives, water, salt), red bell pepper, artichokes, organic grated parmesan cheese (pasteurized organic milk, cheese culture, salt, enzymes). contains less than 2% of: basil, black pepper, dried rosemary, dried parsley, garlic powder, ground bay leaf, ground oregano, ground white pepper, chicken flavor base [(cooked chicken, salt, flavor), chicken fat, sugar, water, natural chicken flavor (chicken broth, natural flavors), chicken broth, turmeric, natural flavors], corn starch, olive oil, onion, onion powder, salt, sugar, thyme, white wine, xanthan gum.",
Healthy Mix,Nutty Naturals Holdings,"Golden raisins, apricots, hulled sunflower seeds, brazil nuts, hulled pumpkin seeds, cashews.",
Blueberry nut heart healthy trail mix,Target Stores,"Almonds, dried sweetened blueberries (cultivated blueberries, sugar, sunflower oil), walnuts, pecans.",
Salad Dressing & Marinade Toasted Sesame,Kerry Wood Healthy Foods,"Olive oil, water, rice wine vinegar, low sodium organic tamari (water, organic soybeans, salt, organic vinegar), toasted sesame oil, garlic and onion, cultured dextrose (natural preservative, not a sugar)",
Zero Calorie Sparkling Green Tea,The Healthy Beverage Company,"Sparking filtered water, natural flavors (blueberry, pomegranate, & other natural), citric acid, erythritol (natural sweetener), sodium citrate, fair trade certified organic green tea, rebiana (stevia extract, natural sweetener), ascorbic acid (vitamin c), vitamin b6 (pyridoxine hcl), folic acid, vitamin b12 (cyanocobalamin).",
Zero calorie steazy cola,The Healthy Beverage Company,"Sparkling filtered water, erythritol (natural sweetener), caramel color, sodium citrate, natural flavors, phosphoric acid, fair trade certified organic green tea, rebiana (stevia extract, natural sweetener), citric acid, ascorbic acid (vitamin c), vitamin b6 (pyridoxine hcl), folic acid, vitamin b12 (cyanocobalamin).",
Sparkling Green Tea,The Healthy Beverage Company,"Sparkling filtered water, erythritol (natural sweetener), citric acid, sodium citrate, natural flavors (cherry & other natural), fair trade certified organic green tea, rebiana (stevia extract, natural sweetener), ascorbic acid (vitamin c), vitamin b6 (pyridoxine hc1), folic acid, vitamin b12 (cyanocobalamin).",
Heart Healthy Blend,Nature's Harvest,"Peanuts, almonds, pistachios, hazelnuts, pecans, walnuts, peanut oil, sea salt.",
Sliced Peaches,Healthy Pac,"Peaches, ascorbic acid (vitamin c), citric acid, malic acid.",
"Strawberry, Banana & Peach Medley",Healthy Pac,"Strawberries, bananas, peaches, ascorbic acid (vitamin c). citric acid, malic acid.",
Veggie Fries,Healthy Life Brands  Llc,"Potatoes, chickpeas, water, sunflower oil and/or non-gmo canola oil, red bell pepper, corn starch, potato starch, tapioca starch, rice flour, sea salt, locust bean gum, xanthan gum, tapioca dextrin, garlic.",
Polar bear xylitol mints for healthy teeth,"Polar,  Zellies","Xylitol, less than 2% of: stearic acid (vegetable source), magnesium stearate (vegetable source), cellulose gum, vegetable fibers, natural flavors, silica.",
Grilling non-stick cooking spray,Healthy Way,"Water (aqua), soybean oil*, isobutane, propane, lecithin, sorbic acid, potassium sorbate, beta-carotene.",
Healthy Morning Rice & Wheat Flakes Cereal,Shurfine,"Rice, whole grain wheat, sugar, wheat bran, freeze dried strawberries, corn syrup, soluble wheat fiber, salt, malt syrup. vitamins and minerals: sodium ascorbate (vitamin c), alpha tocopherol acetate (vitamin e), reduced iron, niacinamide, vitamin a plamitate, pyridoxine hydrochloride (vitamin b6), riboflavin (vitamin b2), thiamin mononitrate (vitamin b1), folic acid, vitamin b12.",
"Doctor Hummus, Spinach Dip With Onion",S&B Healthy Food  Doctor Hummus,"Water, expeller processed natural oil blend (soy bean, palm fruit, and olive), maltodextrin, soy protein, tofu, non dairy lactic acid, organic sugar, blend of natural gums (locust bean, sugar, cellulose, xanthan and carrageenan (veg mono and diglycerides, salt), canola oil, filtered water, brown rice syrup, apple cider vinegar, soy protein, sea salt, mustard flour and lemon juice concentrate, spinach, onion, sea salt and spices.",
"Doctor Hummus, Chipotle Dip",S&B Healthy Food  Doctor Hummus,"Spinach, chipotle peppers (water, tomato puree, vegetable oil, wheat flour, salt, vinegar, starch, onion powder, garlic powder, caramel color, spices), water, soybean oil, chicory root extract, palm fruit oil, soybean powder, rice starch, soy protein, carrageenan, calcium lactate, lactic acid, agave syrup, lemon juice, guar gum, locust bean gum, natural flavor, salt, canola oil, brown rice syrup, apple cider vinegar, mustard flour, jalapenos (jalapeno peppers, salt), organic tomato paste, paprika.",
"Doctor Hummus, Hummus, Kalamata Olive",S&B Healthy Food  Doctor Hummus,"Garbonzo beans, kalamata olives, olive oil, citric acid, sea salt and 100% lemon juice.",
"Healthy Food, Creamy Hatch Chile Sauce",Mozian & Associates  Inc.,"Coconut milk* (water. coconut milk powder*, tapioca maltodextrin*), roasted hatch peppers*, onion*, lime juice*, cilantro*, garlic*, brown sugar*, mustard powder*, salt, citric acid, guar gum*",
Raw + Healthy + Delicious Snack,Pashen,"Organic sprouted buckwheat, raw honey, organic raw almond butter, organic raw agave nectar, organic raw pumpkin seeds, organic cranberries, organic raw goji berries, organic raw black and white sesame seeds, organic raw sunflower seeds, organic raw coconut oil, organic cinnamon, raw vanilla powder and sea salt",
Healthy Salad Kraut,Simply Poland's Choice,"Sauerkraut (cabbage, salt, natural overlows), carrot.",
Global Goodness Healthy Snack Bar,Toosum,"Gluten free rolled oats, brown rice syrup, brown rice flour, evaporated cane juice, chicory root fiber, cashew butter (cashews, safflower oil), plum paste, almonds, dried sliced cranberry (cranberry, sugar, sunflower oil), roasted sunflower seeds (sunflower seeds, sunflower oil), crisp rice (brown rice flour, evaporated cane juice, molasses, salt), strawberry powder, chia seed, baking soda, acai powder, sea salt, vanilla extract, natural flavor",
Healthy Homestyle Chicken Noodle Condensed Soup,Ahold,"Chicken stock, enriched noodles (semolina [wheat], egg white, whole egg, niacin, ferrous sulfate [iron], thiamin mononitrate, riboflavin, folic acid), chicken meat (cooked chicken meat, water, modified food starch, salt, sodium phosphate), modified food starch, carrots, contains less than 1% of: flavoring, maltodextrin, salt, chicken fat, celery, sea salt, potassium chloride, onion powder, yeast extract, spice, beta carotene (for color), garlic powder.",
Healthy Clam Chowder,Southern Home,"Clam broth, potatoes, clam meat, modified corn starch, cream, contains less than 2% of: onions, titanium dioxide (for color), bleached wheat flour, soybean oil, potassium chloride, yeast extract, natural flavor, salt, disodium inosinate, disodium guanylate, calcium carbonate, soy protein concentrate, autolyzed yeast extract, sodium tripolyphosphate (to retain natural juices), sea salt.",
Healthy Chicken Noodle Condensed Soup,Southern Home,"Chicken broth, enriched egg noodles (wheat flour, eggs, egg whites, niacin, ferrous sulfate [iron], thiamine mononitrate, riboflavin, folic acid), chicken meat (cooked chicken meat, water, modified food starch, salt, sodium phosphate), carrots, contains less than 2% of: chicken flavor (chicken fat, maltodextrin, sesame oil, natural flavor and bha (antioxidant]), modified food starch, salt, cooked mechanically separated chicken meat, potassium chloride, yeast, extract, high fructose corn syrup, onion powder, disodium inosinate, disodium guanylate, garlic powder, spice extract (contains salt), ascorbic acid, beta carotene (for color).",
Healthy & Veggie Chop,Caldwell Fresh Foods,"Green cabbage, carrots, red cabbage, jicama, green bell peppers, celery, broccoli, radishes.",
"Chicken teriyaki, white meat chicken in teriyaki sauce with edamame, carrots, water chestnuts & brown rice",Eating Right For Healthy Living,"Cooked long grain brown rice, teriyaki sauce (water, soy sauce [water, wheat, soybeans, salt, alcohol, vinegar, lactic acid], sugar, brown sugar, pineapple juice concentrate, ginger puree [ginger, water, phosphoric acid], garlic [garlic, citric acid], soybean oil, modified corn starch, dried soy sauce [soy sauce {wheat, soybeans, salt}, maltodextrin, salt], xanthan gum, spices), cooked chicken (chicken breast with rib meat, water, soybean oil, sodium phosphate [sodium phosphate, carrageenan], modified corn starch, salt, tomato paste, spices, onion powder, enriched bleached wheat flour [niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], nonfat dry milk), sugar snap peas, edamame (soybeans), carrots, yellow carrots, water chestnuts.",
Healthy Chicken Noodle,Winn-Dixie Stores  Inc.,"Chicken broth, enriched egg noodles (wheat flour, eggs, egg whites, niacin, ferrous sulfate [iron], thiamin mononitrate, riboflavin, folic acid), chicken meat (cooked chicken meat, water, modified food starch, salt, sodium phosphate), carrots, contains less than 2% of: chicken flavor (chicken fat, maltodextrin, sesame oil, natural flavor and bha [antioxidant]), modified food starch, salt, cooked mechanically separated chicken meat, potassium chloride, yeast extract, high fructose corn syrup, onion powder, disodium inosinate, disodium guanylate, garlic powder, spice extract (contains salt), ascorbic acid, beta carotene (for color).",
Healthy Cream Of Chicken Condensed Soup,Spartan,"Chicken broth, modified food starch, chicken meat (cooked chicken meat, water, modified food starch, salt, sodium phosphate), wheat flour, contains less than 2% of: cream, salt, soy protein concentrate, soybean oil, chicken fat, maltodextrin, hydrolyzed soy and corn protein, torula yeast, yeast extract, natural flavor, potassium chloride, titanium dioxide (color), onion powder, garlic powder, carrot extract, beta carotene (for color), disodium inosinate, disodium guanylate, citric acid.",
Healthy Condensed Soup,Spratan,"Water, mushrooms, modified food starch, wheat flour, soybean oil, contains less than 2% of: salt, cream, whey, potassium chloride, soy protein concentrate, yeast extract, natural flavor, calcium carbonate, onion powder, titanium dioxide (color), garlic powder, disodium guanylate, disodium inosinate, calcium lactate.",
Healthy Vegan Ravioli,Carla's Pasta Inc.,"Tofu (water, organic whole soybeans, magnesium chloride), extra fancy durum flour (enriched with niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid), water, carrots, soy sauce (soy sauce [wheat, soybeans, salt], maltodextrin, salt), onions.",
Chocolate with currants,Healthy Hight's,"Fair trade, organic dutch cocoa butter; belgian cocoa solids & butter; raw, fair trade, organic, madhava agave nectar: dried currants",
Chocolate,Healthy Hight's,"Fair trade, organic dutch cocoa butter; belgian cocoa solids & butter; raw, fair trade. organic, madhava agave nectar",
Naturally Healthy Cheese,Apollo's Gift,"Cheese (pasteurized part skim milk, cultures, salt, enzymes), powdered cellulose added to prevent caking.",
Organic healthy blend,Daily Chef,"Organic corn, organic carrots, organic shelled edamame soybeans.",
"Taylor farms, healthy harvest snack tray","Taylor Farms,  Taylor Fresh Foods  Inc.","Carrots, apples, (apples and calcium ascorbate [vitamin c calcium salt], almonds, colby-jack cheese (colby cheese [pasteurized milk, cheese culture, salt, enzymes, annatto {vegetable color}], monterey jack cheese [pasteurized milk, cheese culture, salt, enzymes]).",
Granola,I M Healthy,"Gluten free rolled oats, soynut butter (non-gmo roasted soybean, naturally pressed soybean oil, maltodextrin (from corn), granulated cane juice, palm oil, salt), dried blueberries (blueberries, sugar and sunflower oil), granulated cane juice, maltodextrin (from corn)",
Tuscany Artisan Cracker,Healthy Habits,"Almond flour, organic sesame seeds, organic tapioca flour, purified water, organic chia seeds, organic flax seeds, organic apple cider vinegar. seasoning: garlic sea salt, rosemary, lemon, basil oil.",
"Western family, healthy mornings, crunchy rice cereal and wheat flakes, almonds & vanilla","Western Family,  Western Family Foods  Inc.","Rice, whole grain wheat, sugar, honey coated sliced almonds (dry roasted almonds, sugar, honey, maltodextrin, salt, bht [a preservative]), wheat bran, soluble wheat fiber, salt, corn syrup, malt syrup, natural and artificial flavor, bht (a preservative). vitamins and minerals: sodium ascorbate (vitamin c), alpha tocopherol acetate (vitamin e), reduced iron, niacinamide, vitamin a palmitate, pyridoxine hydrochloride (vitamin b6), riboflavin (vitamin b2), thiamin mononitrate (vitamin b1), folic acid, vitamin b12, vitamin d.",
"Welch's, freeze-dried banana & strawberry slices","Welch's,  Healthy Food Brands Llc","Bananas, strawberries.",
"Angry Birds, Fruit Snacks, Cherry-Lemon-Raspberry-Apple-Grape-Strawberry",Healthy Food Brands Llc,"Grape juice concentrate, corn syrup, modified food starch, apple puree, gelatin, citric acid, sodium citrate, ascorbic acid (vitamin c), natural & artificial flavors, fd&c red 40, yellow 5, blue 1, red 3, carnauba wax.",
"Angry Birds, Fruit Snack, Cherry, Lemon, Raspberry, Apple, Grape, Strawberry",Healthy Food Brands Llc,"Corn syrup, sugar, water, apple juice concentrate, modified food starch (corn), gelatin, dextrose, apple puree, citric acid, artificial flavor, ascorbic acid, mineral oil, carnuba wax, artificial colors (fd&c red 40, yellow 5, blue 1).",
"Welch's, freeze-dried fruit slices, banana & strawberry","Welch's,  Healthy Food Brands Llc","Bananas, strawberries.",
"Welch's, dried cranberries, blueberry","Welch's,  Healthy Food Brands Llc","Cranberries, sugar, natural flavors,sunflower oil.",
"Welch's, dried mediterranean apricots","Welch's,  Healthy Food Brands Llc","Dried apricots, natural flavors, sulfur dioxide (to preserve flavor), citric acid, ascorbic acid, malic acid.",
"Welch's, red apple chips","Welch's,  Healthy Food Brands Llc","Apples, sodium sulphite.",
"Welch's, golden apple chips","Welch's,  Healthy Food Brands Llc","Apples, sodium sulphite (to preserve freshness).",
"Sobe, fruit twist snacks blueberry pomec-ranate","Sobe,  Healthy Food Brands Llc","Concentrated apple puree, concentrated apple juice, ascorbic acid (vitamin c), natural blueberry flavor, natural pomegranate flavor, concentrated black carrot juice (for color), pectin, coconut oil, shellac, beeswax.",
"Welch's, freeze-dried mango slices","Welch's,  Healthy Food Brands Llc",Mangos.,
"Welch's, freeze-dried apple slices","Welch's,  Healthy Food Brands Llc","Fuji apples, ascorbic acid, citric acid.",
"Welch's, freeze-dried mango slices","Welch's,  Healthy Food Brands Llc",Mangos.,
"Welch's, freeze-dried grapes","Welch's,  Healthy Food Brands Llc",Grapes.,
"Sobe, fruit strip snacks, mango, pineapple","Sobe,  Healthy Food Brands Llc","Concentrated apple puree, concentrated apple juice, ascorbic acid (vitamin c), natural pineapple flavor, natural mango flavor, concentrated black carrot juice (for color), pectin, coconut oil, shellac, beeswax.",
"Betsy's Best, Gourmet Seed Butter",Healthy Concepts Food Company  Llc,"Sunflower seeds, demerara sugar, chia seeds, organic honey, sunflower oil, cinnamon, pink himalayan salt, organic stevia leaf extract, natural flavors",
Zero calorie half & half iced green tea,"Steaz,  Healthy Beverage  Llc","Filtered water, lemon juiceâ€ , erythritolâ€ , lemon extractâ€ , green teaâ€ *, flavorsâ€ , natural flavors, and steviaâ€ .",
"Truly good foods, healthy trail mix","Truly Good Foods,  Tropical Nut & Fruit Co.","Raising, sunflower seeds, cashews, almonds, pumpkin seeds, peanut oil.",
"Welch's, pb&j trail mix, grape","Welch's,  Healthy Food Brands Llc","Peanuts flavored dried cranberries (cranberries, sugar, sunflower oil, natural flavor), peanut flavored coating dried cane syrup, palm kernel oil, partially defatted peanut flour, whey powder [milk], salt, soy lecithin [an emulsifier], yogurt flavored coating (sugar, palm kernel oil and/or palm oil, nonfat dry milk, whey powder, nonfat yogurt powder [cultured whey, nonfat milk], titanium dioxide [color], soy lecithin [an emulsifier], lactic acid, vanilla), sugar, corn oil, salt, coloring (includes vegetable juice), tapioca dextrin, honey, gum arabic, natural flavors, corn syrup, confectioner's glaze.",
"Emojeez, Gummies, Assorted Fruits",Healthy Food Brands Llc,"Corn syrup, sugar, water, gelatin, dextrose, citric acid, natural & artificial flavor, fd&c red 40, yellow 5, yellow 6, blue 1, mineral oil, carnauba wax.",
"Emojeez, Fruit Flavored Gummies, Green Apple, Orange, Fruit Punch, Lemon, Cherry Blue Raspberry",Healthy Food Brands Llc,"Corn syrup, sugar, water, gelatin, dextrose, citric acid, natural & artificial flavor, fd&c red 40, yellow 5, yellow 6, blue 1, mineral oil, carnauba wax.",
"Hfb Candy, Candy Crush Color Bombs",Healthy Food Brands Llc,"Sugar, assorted nonpareils (sugar, corn starch, confectioners glaze, fd&c red 40, yellow 5, yellow 6, blue 1, carnauba wax), hydrogenated palm kernel oil, whey protein concentrate [milk], cocoa powder, chocolate liquor, cocoa powder (processed with alkali), soy lecithin, natural flavor.",
"Hfb Candy, Jelly Fish Candy",Healthy Food Brands Llc,"Sugar, corn syrup, modified corn starch, citric acid, sodium citrate, natural and artificial flavors, mineral oil, carnauba wax, red 40, yellow 6, yellow 5, blue 1.",
